key,value,date
pos,0.15,12/29/12
pos,0.15,12/30/12
pos,0.35,12/31/12
pos,0.38,01/01/13
pos,0.22,01/02/13
pos,0.16,01/03/13
pos,0.07,01/04/13
pos,0.02,01/05/13
pos,0.17,01/06/13
pos,0.33,01/07/13
pos,0.15,01/08/13
pos,0.15,01/09/13
pos,0.35,01/10/13
pos,0.38,01/11/13
pos,0.22,01/12/13
pos,0.16,01/13/13
pos,0.07,01/14/13
pos,0.02,01/15/13
pos,0.17,01/16/13
pos,0.33,01/17/13
pos,0.4,01/18/13
pos,0.32,01/19/13
pos,0.26,01/20/13
pos,0.35,01/21/13
pos,0.4,01/22/13
pos,0.32,01/23/13
pos,0.26,01/24/13
pos,0.22,01/25/13
pos,0.16,01/26/13
pos,0.22,01/27/13
pos,0.1,01/28/13
neg,0.35,12/29/12
neg,0.35,12/30/12
neg,0.36,12/31/12
neg,0.37,01/01/13
neg,0.22,01/02/13
neg,0.24,01/03/13
neg,0.26,01/04/13
neg,0.34,01/05/13
neg,0.21,01/06/13
neg,0.18,01/07/13
neg,0.35,01/08/13
neg,0.36,01/09/13
neg,0.37,01/10/13
neg,0.22,01/11/13
neg,0.24,01/12/13
neg,0.26,01/13/13
neg,0.34,01/14/13
neg,0.21,01/15/13
neg,0.18,01/16/13
neg,0.45,01/17/13
neg,0.32,01/18/13
neg,0.35,01/19/13
neg,0.3,01/20/13
neg,0.28,01/21/13
neg,0.27,01/22/13
neg,0.26,01/23/13
neg,0.15,01/24/13
neg,0.3,01/25/13
neg,0.35,01/26/13
neg,0.42,01/27/13
neg,0.42,01/28/13
